"filename", "language", "JSON", "HTML", "MS SQL", "TypeScript", "TypeScript JSX", "JavaScript", "JSON with Comments", "Markdown", "XML", "Rust", "comment", "blank", "total"
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/init.ts", "TypeScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 50, 17, 163
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/log.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 3, 15
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/tracker.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 19, 90
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/validators.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 9, 59
"/Users/junweiwang/Documents/github/wafer-overlay/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/junweiwang/Documents/github/wafer-overlay/test/data_config.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"/Users/junweiwang/Documents/github/wafer-overlay/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 4, 32
"/Users/junweiwang/Documents/github/wafer-overlay/tsconfig.node.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"/Users/junweiwang/Documents/github/wafer-overlay/vite.config.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 5, 40
"Total", "-", 173, 13, 57, 1608, 1863, 28, 25, 236, 7, 843, 962, 805, 6620
