"filename", "language", "JSON", "JavaScript", "Markdown", "MS SQL", "HTML", "TypeScript", "TypeScript JSX", "JSON with Comments", "Rust", "XML", "comment", "blank", "total"
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/MetadataCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 6, 17, 200
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/Navigator/ProductViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 588, 0, 0, 0, 33, 58, 679
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/PathPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 34, 10, 186
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/RawWaferSummary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 9, 11, 67
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/RegexInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 5, 45
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/Substrate/Parameters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 460, 0, 0, 0, 29, 36, 525
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/Substrate/Wafer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 309, 0, 0, 0, 12, 47, 368
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/Substrate/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 5, 13, 141
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/Toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 24, 22, 251
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
"/Users/junweiwang/Documents/github/wafer-overlay/src/constants/MenuItems.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 4, 90
"/Users/junweiwang/Documents/github/wafer-overlay/src/constants/default.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 4, 8, 58
"/Users/junweiwang/Documents/github/wafer-overlay/src/constants/index.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 3, 11
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/fileIndex.ts", "TypeScript", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 46, 14, 153
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/folderIndex.ts", "TypeScript", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 53, 15, 167
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/helpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/index.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 9, 6, 38
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/offsets.ts", "TypeScript", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 16, 13, 132
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/productSize.ts", "TypeScript", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 18, 14, 132
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/spreadSheet.ts", "TypeScript", 0, 0, 0, 0, 0, 422, 0, 0, 0, 0, 44, 59, 525
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/types.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 11, 64
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/wafermaps.ts", "TypeScript", 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 48, 25, 339
"/Users/junweiwang/Documents/github/wafer-overlay/src/flows/DataSource.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 15, 2, 65
"/Users/junweiwang/Documents/github/wafer-overlay/src/flows/RegexPathPatterns.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 1, 12
"/Users/junweiwang/Documents/github/wafer-overlay/src/flows/index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/junweiwang/Documents/github/wafer-overlay/src/hooks.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/junweiwang/Documents/github/wafer-overlay/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 5, 25
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/About/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 5, 60
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/ComingSoon/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Config/DataConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 19, 21, 152
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Config/MetadataIngest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 29, 36, 318
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Config/Preferences.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 15, 23, 266
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Config/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 1, 16, 104
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Database/Cache.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 412, 0, 0, 0, 20, 44, 476
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Database/Data.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 5, 17, 167
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Database/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 2, 9, 66
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Log/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 3, 17, 151
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/config.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 4, 23
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/fileHandlers.ts", "TypeScript", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 14, 12, 99
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/formatHandlers.ts", "TypeScript", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 33, 18, 198
