"filename", "language", "Markdown", "MS SQL", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "Rust", "HTML", "comment", "blank", "total"
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/Wafer/index.tsx", "TypeScript JSX", 0, 0, 0, -5, 0, 0, 0, 0, 0, -1, -6
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/index.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"/Users/junweiwang/Documents/github/wafer-overlay/src/constants/MenuItems.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/junweiwang/Documents/github/wafer-overlay/src/constants/default.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -12
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/fileIndex.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 0, 46, 14, 153
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/folderIndex.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 53, 15, 167
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/helpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/index.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 9, 6, 38
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/offsets.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 0, 16, 13, 132
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/productSize.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 0, 0, 18, 14, 132
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/spreadSheet.ts", "TypeScript", 0, 0, 422, 0, 0, 0, 0, 0, 44, 59, 525
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/types.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 3, 11, 64
"/Users/junweiwang/Documents/github/wafer-overlay/src/db/wafermaps.ts", "TypeScript", 0, 0, 266, 0, 0, 0, 0, 0, 48, 25, 339
"/Users/junweiwang/Documents/github/wafer-overlay/src/flows/DataSource.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 15, 2, 65
"/Users/junweiwang/Documents/github/wafer-overlay/src/flows/DataSourcePaths.ts", "TypeScript", 0, 0, -49, 0, 0, 0, 0, 0, -14, -2, -65
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/About/Preferences.tsx", "TypeScript JSX", 0, 0, 0, -115, 0, 0, 0, 0, -4, -14, -133
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/ComingSoon/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Config/DataConfig.tsx", "TypeScript JSX", 0, 0, 0, -60, 0, 0, 0, 0, 0, -11, -71
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Config/MetadataIngest.tsx", "TypeScript JSX", 0, 0, 0, 253, 0, 0, 0, 0, 29, 36, 318
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Config/Preferences.tsx", "TypeScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 14, 7, 101
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Config/Preview.tsx", "TypeScript JSX", 0, 0, 0, -177, 0, 0, 0, 0, -3, -20, -200
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Config/SubstrateConfig.tsx", "TypeScript JSX", 0, 0, 0, -95, 0, 0, 0, 0, -3, -8, -106
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Config/index.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, -3, 9, 31
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Database/Cache.tsx", "TypeScript JSX", 0, 0, 0, 412, 0, 0, 0, 0, 20, 44, 476
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Database/Data.tsx", "TypeScript JSX", 0, 0, 0, 145, 0, 0, 0, 0, 5, 17, 167
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Database/index.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 2, 9, 66
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/Log/index.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/config.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 2, 4, 23
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/fileHandlers.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 14, 12, 99
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/formatHandlers.ts", "TypeScript", 0, 0, 147, 0, 0, 0, 0, 0, 33, 18, 198
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/index.tsx", "TypeScript JSX", 0, 0, 0, 573, 0, 0, 0, 0, 26, 60, 659
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/overlayLogic.ts", "TypeScript", 0, 0, 147, 0, 0, 0, 0, 0, 15, 23, 185
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/priority.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 5, 5, 36
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/types.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 9, 3, 26
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/waferAlgorithm.ts", "TypeScript", 0, 0, 238, 0, 0, 0, 0, 0, 0, 35, 273
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/waferService.ts", "TypeScript", 0, 0, 189, 0, 0, 0, 0, 0, 0, 26, 215
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/WaferStacking/wlbiHandlers.ts", "TypeScript", 0, 0, 182, 0, 0, 0, 0, 0, 17, 37, 236
"/Users/junweiwang/Documents/github/wafer-overlay/src/pages/index.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/dataSourceConfigSlice.ts", "TypeScript", 0, 0, 250, 0, 0, 0, 0, 0, 15, 45, 310
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/dataSourcePathsConfigSlice.ts", "TypeScript", 0, 0, -130, 0, 0, 0, 0, 0, -21, -18, -169
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/dataSourceStateSlice.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 0, 0, 5, 1, 3
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/job.ts", "TypeScript", 0, 0, 149, 0, 0, 0, 0, 0, 14, 25, 188
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/logSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/middleware.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, -4, 1, 0
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/preferencesSlice.ts", "TypeScript", 0, 0, -7, 0, 0, 0, 0, 0, 6, 5, 4
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/waferMetadataSlice.ts", "TypeScript", 0, 0, -260, 0, 0, 0, 0, 0, -109, -62, -431
"/Users/junweiwang/Documents/github/wafer-overlay/src/sqlDB.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 0, 0, -2, -1, -6
